2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
0.0,60446.80308343983,674116.3324384008,2674234.791992026,6577816.483544762,11810227.0885141,16866532.581499066,20720069.227133468,23572589.78261606,25988850.13408595,28173495.689278167,30181603.310676295,32140288.866361775,34057501.67351299,35773977.44707848,37263658.773910455
0.0,72717.69922016535,799951.9763846016,3095768.944308365,7437941.494352461,13034414.475627175,18197344.55936514,21989779.18394666,24842889.94895043,27347155.144882556,29536409.59609732,31396602.242964733,33107465.923991404,34756801.657790475,36303620.76458399,37767696.608544625
0.0,65615.70509984861,731094.5076856732,2895564.1817420083,7105564.108061232,12690133.050270963,17984376.31693512,21815354.832920674,24368320.107680902,26318777.12086513,28060429.932576783,29846900.776590914,31771146.4365763,33615408.396054484,35171681.13944859,36626192.06720657
0.0,64662.067094942024,714584.2022376938,2789525.6016534716,6770766.992302896,12038408.763492048,17064699.137680523,20865023.1479902,23681660.73114153,26045222.59834367,28150083.96596955,30034081.438148003,31762019.692958616,33400857.065746225,35055625.681977086,36857808.74168583
0.0,66228.46893897316,733568.4635034882,2874694.691351724,6993119.422472199,12425693.428272087,17547667.861527137,21280489.596524864,23885191.53997621,25972060.498197284,27788818.591999605,29490329.164389197,31334293.087122492,33482204.89131704,35781709.58120074,37876398.87052885
0.0,66167.65418609377,730086.0375508566,2835242.188500066,6808902.639789375,11952767.32714609,16737490.150082888,20273350.90424378,22936212.58820323,25281663.77390997,27506574.764626164,29751734.75149574,32079955.825796835,34342614.291499615,36327813.60395534,38005816.90654878
0.0,62620.366358087296,697510.0795385063,2755697.994569058,6716766.256324478,11905065.827867577,16796477.4726949,20527880.316645306,23501246.782826457,26246309.4394515,28645873.648079142,30528768.458359327,32118320.265807644,33651918.74063221,35185835.755433954,36770172.3396705
0.0,65734.52473319837,725930.7012763628,2827440.8931733547,6831927.310465596,12086413.71078781,17082348.692182552,20870013.54528659,23722082.7864325,26157222.7641514,28311814.209772874,30256613.25440449,32059599.773006763,33754319.59832056,35419019.47307149,37058967.54419127
0.0,67679.83695527945,745448.8971059585,2893991.668552695,6985843.421256724,12285863.679945247,17165551.073024858,20651868.843738303,23158159.486534785,25417972.462501608,27635235.45963162,29741687.815478526,31741516.775423612,33654543.53224661,35518885.45154283,37336931.34446664
0.0,57024.782978798496,639031.5666266043,2560286.125520319,6372656.175086462,11577707.856040401,16730898.776121615,20728328.322777376,23656703.979836795,26076933.896494586,28298284.874211453,30422444.15014844,32480602.881333794,34381915.24720247,36023261.97330049,37465924.54756957
0.0,67797.0710971185,758276.9927540116,3015459.9907666473,7376365.030611576,13068631.875847202,18299328.134652335,21920008.356263977,24305721.29515981,26227277.241456997,27900900.1698147,29413881.713741172,31049218.341044158,32990794.626465432,35171929.79397986,37393202.58940989
0.0,67585.79194401449,751056.9455177962,2948382.7209508005,7115332.180580319,12512552.398267353,17511626.258781627,21161754.657584444,23908244.831225477,26429139.7848168,28853859.944265172,31115737.509828545,33096738.209225263,34659080.357713416,35945705.415181294,37281447.73489641
0.0,68535.15907810033,758866.4343853039,2971208.3078039004,7209967.902922725,12728211.95063342,17799726.615665987,21336496.988834675,23736970.448714018,25835477.138937708,27983196.206409495,30153204.56053762,32246912.005065903,34188342.44596948,36023405.157147676,37910482.800902545
0.0,59727.87827628009,675102.1556432034,2736165.210153691,6820191.533235958,12321335.391772028,17585103.286219932,21394867.792284377,24042540.152154632,26376407.649868995,28714631.560018506,30935176.483288843,32885840.932035986,34579035.777621195,36147967.84929957,37680497.65664724
0.0,72881.67626031766,799144.6202932206,3067865.889587981,7283781.358636037,12616319.272437159,17418845.39651833,20895360.099002395,23592702.51737446,26112784.89532958,28444450.14792644,30494395.856234204,32318530.796114963,33895248.03464734,35268466.996719144,36708708.90130784
0.0,65356.76526045888,732219.0290985699,2917747.0202908143,7132718.072186901,12603418.449700397,17571475.79829029,20973275.118456196,23284313.856531464,25360866.56602255,27427337.099621028,29478167.93732608,31672934.993132763,34016151.60068042,36252169.96578141,38150845.615942694
0.0,66720.99842651718,739276.8069896239,2896388.2031610096,7026762.260737918,12420595.423988301,17425971.14037201,21014493.048046436,23570383.494822282,25814092.125765786,27960999.866180573,29970929.142236575,31852929.94578297,33692199.646609925,35498632.105710916,37236282.474320024
0.0,65329.83708986373,723969.5114976582,2832375.23017736,6835831.998253146,12011624.259027774,16779362.79942888,20306885.27449075,23154852.18443364,26017438.34695888,28840162.666948423,31225298.29042806,33015416.416176345,34386267.02220677,35643010.54890952,37071514.50487819
