Date,Forecast_Registrations,yhat_lower,yhat_upper
2027-08-01,2534866.371655725,2109696.4123907527,2988550.4561199932
2027-09-01,2560408.821998053,2127955.402955485,2975328.7403837615
2027-10-01,3158515.75323285,2711647.519203481,3592014.661123152
2027-11-01,3586713.134550439,3166525.2109165746,4007092.2185056917
2027-12-01,2731929.0678547695,2331682.007024699,3126309.2184768766
2028-01-01,3081403.6304535465,2663658.627135976,3500117.6570135844
2028-02-01,2999672.7790217805,2581418.509054872,3461449.199899445
2028-03-01,3472105.5997946463,3044367.462098471,3892579.8065715395
2028-04-01,2549384.5879580425,2087427.0109657259,2974745.5651470977
2028-05-01,2232841.027801993,1810846.0389213178,2672044.3217667616
2028-06-01,2640065.366602602,2231937.509315169,3061385.236907848
2028-07-01,2821319.95390498,2404252.371109248,3255690.718066502
2028-08-01,2699234.7397483448,2308309.1624653675,3116809.8414458637
2028-09-01,2611683.266298565,2147646.1677728337,3052003.7034122488
2028-10-01,3475576.135733227,3036616.8778179344,3887657.7999159093
2028-11-01,3628619.9633563855,3214382.67620136,4022349.731375934
2028-12-01,2876018.9481833875,2481729.9146978282,3285099.6232924913
2029-01-01,3013885.914596163,2624566.5442952956,3406259.03162673
2029-02-01,2809454.9399565845,2414919.183088166,3230338.405144402
2029-03-01,3326679.676504543,2901766.4730146513,3771093.24636196
2029-04-01,2722214.2945306203,2279169.0446051364,3123365.102694948
2029-05-01,2558083.5269271634,2126502.279257722,2971735.530828261
2029-06-01,2775571.0383770624,2370508.243154145,3202861.7846509884
2029-07-01,2869035.164646039,2417385.9241792457,3270169.577861273
2029-08-01,2824025.4982708804,2418312.564904978,3256284.764206779
2029-09-01,2775283.2067358806,2368281.638671601,3199762.2547818716
2029-10-01,3550245.605958408,3144461.8326360835,3966930.7058330304
2029-11-01,3794397.197240527,3374723.638702604,4198058.348609604
2029-12-01,3007698.0169128245,2580619.019516741,3414625.735827232
2030-01-01,3216913.3078573337,2779798.8187350943,3606835.2914390094
2030-02-01,3057866.439425973,2648770.15402169,3456477.706867346
2030-03-01,3181543.023210789,2713296.1415936383,3596176.2670691027
2030-04-01,2901432.6549812653,2484934.2792118522,3313088.8464019047
2030-05-01,2883417.1905989693,2415254.4691953408,3292341.347171514
2030-06-01,2907242.0857274104,2479022.5281871553,3338077.5493711745
2030-07-01,2915805.4286468895,2512216.4523238097,3296405.567814328
2030-08-01,2949928.9434526674,2561310.1415672526,3350253.029623999
2030-09-01,2938900.3931867634,2514100.250281444,3362923.6539515518
2030-10-01,3625246.73192283,3197564.756179073,4042858.4526384943
2030-11-01,3961138.960159657,3517435.4851472625,4359782.147390503
2030-12-01,3140381.817705301,2711397.7668203637,3524764.30990623
2031-01-01,3420159.675686164,3003372.0511018825,3843361.578354882
2031-02-01,3302005.0303282593,2888596.416289186,3705470.8479447206
2031-03-01,3037001.7264035074,2614899.7841984364,3461395.6755380426
2031-04-01,3087022.8042759853,2651515.8747257977,3523069.2383504347
2031-05-01,3208605.943727687,2813107.2090366897,3626516.6630366184
2031-06-01,3035043.243948291,2606152.7076523104,3442361.088373268
2031-07-01,2961737.6029839856,2553312.844374734,3372389.1524171317
2031-08-01,3076979.4826934505,2642274.7488307063,3510076.253297744
2031-09-01,3102521.933035562,2708598.5430613765,3520441.2379089585
2031-10-01,3700628.864269107,3267607.8561062333,4123623.061750185
2031-11-01,4128826.24558687,3727016.6619054954,4547926.403456849
2031-12-01,3274042.1788918166,2847697.523918636,3679021.9929358745
2032-01-01,3623516.7414913885,3234448.501090586,4031090.7365238215
2032-02-01,3541785.890058077,3106169.1872781394,3960716.063345559
2032-03-01,4014218.7108335453,3578602.1068537515,4438218.476292242
2032-04-01,3091497.698994935,2687872.1717332397,3523814.9932218385
2032-05-01,2774954.1388426744,2358798.162360604,3185274.4044833216
2032-06-01,3182178.4776394847,2786716.1759513314,3617533.485770254
2032-07-01,3363433.0649429713,2937439.3702207226,3777403.7047821674
2032-08-01,3241347.850785338,2790515.4650286124,3688943.5488216816
2032-09-01,3153796.3773359167,2751061.1383176134,3604117.160502104
2032-10-01,4017689.2467691386,3577521.175431013,4457924.323438803
2032-11-01,4170733.074394024,3752750.217939452,4623466.336499251
2032-12-01,3418132.0592207327,2980113.8961330545,3842667.0822906652
2033-01-01,3555999.025632978,3123542.179238164,4001926.5996198063
2033-02-01,3351568.0509931287,2931654.468124911,3772742.9716421054
2033-03-01,3868792.787537736,3455466.942612242,4281092.936310235
2033-04-01,3264327.405568206,2862502.9337243782,3678313.225312717
2033-05-01,3100196.6379619455,2701136.097453468,3543574.0478643817
2033-06-01,3317684.1494140187,2915850.2354812874,3756089.518799285
2033-07-01,3411148.2756817625,2969768.0183646185,3818736.7539545437
2033-08-01,3366138.6093072067,2948093.415768019,3807429.328941528
2033-09-01,3317396.3177731554,2899988.6354171764,3739694.8786745593
2033-10-01,4092358.7169959075,3650882.812706858,4514548.000328674
2033-11-01,4336510.308277772,3945633.3533853916,4774184.668091461
2033-12-01,3549811.127949644,3115667.679972283,3970275.902012611
2034-01-01,3759026.418896514,3312999.5318993395,4171540.9893701095
2034-02-01,3599979.550462478,3146177.566413424,4015476.6452195575
2034-03-01,3723656.134249234,3321269.020831697,4155002.6053805323
