2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
18309435.311875876,21390406.33291963,23610916.282984275,23019323.655225717,29136423.186513748,29651248.851883754,32215222.38997259,35000991.24139991,34806694.090903856,35178257.42292078,36676869.77121958,38412627.26021525,41504591.852740504,42921541.297917224,44501173.457387395,46786938.759162605
19431617.5448474,22149481.655131232,21982870.06822211,26993182.787325542,28751821.345282298,28194645.612466425,30099130.261015072,33381634.547958758,34831822.050151646,36830168.947683305,38213402.87202233,39252270.75366087,40619201.33665393,40801912.25358935,43675224.774338774,46820386.38641352
19660093.25554149,19075052.91815997,22483708.921704505,24372804.007030535,27032689.23164655,29354115.130060364,31361328.862168297,31520549.021895878,35497975.285805315,36657727.09893365,38900981.223061815,40525476.77776149,40008525.55939789,41460895.825559326,44773378.56496018,46428143.607268095
20002029.863388456,24882129.248606198,22938645.501193684,25214799.474453438,29125747.129135363,29924931.849911455,30943825.669649,33698215.50040614,34202214.36318668,35760038.94746376,37132558.83489434,39427100.72370526,44255876.57622744,40399436.131446324,44968928.72412408,43993602.694399215
18880647.509604037,21734226.885283228,22359138.109456163,22730825.25113933,27224647.739340745,29957284.34285298,30479796.994760595,33077056.308019143,35140154.508101836,35293209.46953747,40097161.38620414,40050966.82764715,39263725.50845315,42744870.07229734,43429370.50386303,46815846.501539186
18516402.16750092,20363246.543953363,22863259.360262293,24911994.143765464,26672310.652519975,28794125.744481992,30765327.13926619,32081174.07018958,37111259.77918324,36482373.799089245,36258142.41315962,40371850.82037009,44034437.64935081,43711050.10781616,42449953.56471368,45285553.20151454
20856278.989360176,19687905.285070237,22793289.98086128,24809729.878009025,26983635.22528984,29109519.57063843,27672913.683164686,31656322.77994489,34798465.269211605,34622216.28470853,39520396.84970511,37718371.48977512,41087092.26943287,42681242.64391839,45831203.49633677,44196074.94835306
20738403.700013638,20505584.814370904,21162869.428497393,24458980.206253137,28265976.44720895,28489353.29370501,31374288.843807306,32388044.325517617,35218024.7995283,36771790.387576155,39468086.037948295,37935719.02910054,44046949.86179316,40302565.15148349,44011825.71646345,46513471.25152051
19736101.28949971,19784684.698301032,22047539.492190864,23387076.910211112,27368074.13391428,30152277.161311273,31695358.689134903,32035855.68429969,36118930.24423013,36372434.23013767,38596337.005692676,40046118.493371055,40639675.50856786,41892181.135614045,45038632.91056938,46538718.854747064
19393097.222238544,20627563.539602935,23747118.652157735,23276452.360960077,28662341.42804251,28945882.001749374,31052917.297184374,34087285.54239065,36033910.745239094,36942164.718444794,39151773.22409505,39358311.18017462,42377746.05979265,42177593.7447684,44555393.67138937,45690936.852003075
19527049.58415708,21171803.881938506,21349653.132940356,26288629.995222844,26893566.58378185,27785135.545561254,32590886.44409117,33735648.59465285,35803210.87002543,36733765.78450287,37666008.469451986,38320587.27122604,41680482.673572674,41758584.295372404,45298825.38036846,45671572.362871446
18478935.111150574,20127876.17262223,22757957.49274529,23307704.56234042,27102884.976075586,29457300.517448347,31570101.554057237,32248781.928704597,34548083.224210896,36287742.161207624,36047069.83361617,37743999.45705126,40766844.06380661,42288165.80030723,44540251.26198537,47529004.24558735
20391297.279734965,20311762.086002894,22263856.270548638,22815238.691876464,28018192.21353987,28846706.618322324,31657018.874318197,31882061.573233087,35683133.35228699,37751644.48771155,37557187.50246981,39788549.28122374,42387168.33742057,42073720.78152847,44441102.70850028,45854348.564923644
19527822.335493643,19613483.704594254,22313645.725399263,24499264.569171578,29691920.35043609,30278065.79447083,33703256.12629911,31950626.3353804,36087666.33269429,36232922.24979774,40148868.247615956,38421116.57344789,40627336.24226741,41847399.83539654,41759545.26386926,45238017.64448871
18554336.89488146,20665225.645493846,22676540.473981556,26045972.638869777,29121672.38563923,28516093.261347573,30291939.61098659,33392450.814326376,33574846.597123854,38087848.373306714,39009661.81572158,38804359.172928065,39622633.97054718,44078110.53179317,44054362.24904581,47257054.976091
17605294.872560542,19811250.92827175,22291606.970588084,23993092.30990156,27526716.030750282,29892195.321176503,30102788.03805802,32666196.951689377,35225793.18890687,36605565.8458857,38482178.500997655,38063616.333597034,39828564.29812233,43991092.010623105,44564698.836086474,44983021.86695657
21179226.558234777,20625681.08483053,23634596.671270736,24016141.757956833,30386172.189986326,31191147.94752812,31017946.747901827,33941638.415403135,35827571.88149308,37566944.57561292,36591844.4199063,40109881.71263252,42810807.99326858,40523377.04635237,42833815.01999761,43505302.43170527
19110751.56380415,21311198.70761482,24004142.080620598,24023522.266850278,29894035.42051709,27594835.62845652,29392083.003007095,32765616.869142648,35528091.809425965,35989776.72272132,35348730.25356766,39233860.14583774,40092728.67920722,43296725.59246041,44603853.69341964,44763903.92773308
18833001.91582218,19287502.211124465,22213910.666273814,25012312.34399886,26916675.502747457,29755929.317683913,30703494.669538748,31921400.630285252,34965261.73609983,34861427.2448933,37055565.13202915,37980852.53105812,43853341.874000445,42572203.87063842,43386041.613396354,46084908.50483254
19289220.689129747,20242248.671038017,22988148.76263546,24790509.16899663,27435111.33807609,28517338.218525935,30988784.02363881,30193583.34881103,33351411.28788666,37564966.776849285,39534554.47938657,39053139.02154192,42256507.142044865,42887392.16318369,47701459.32792709,47121685.45784515
19271508.227884017,19405584.197415974,20448008.594210174,24168711.527065087,27177901.055517778,27546487.533869453,30573468.270020593,31590875.7961488,37021508.067737855,37018843.95877779,37670827.64734516,41007060.09040832,41682281.482603356,41548308.67821002,45924682.496735506,46456907.105666034
18238351.054564323,20277136.80209147,21283996.545242097,22388465.39332942,29094059.3399024,31367870.922273573,29732829.15690856,33473801.11161851,34342244.20264594,35478323.11832447,37011879.71675377,38358178.47857785,41649098.62979695,41582951.47732378,44494053.848294154,45782416.60317134
19145358.10335736,19460228.983098842,21625844.974444494,24788133.861761205,28609748.814405743,28056550.99984159,31407300.058732234,33689534.215549715,33174671.029524934,36638116.3206916,36932694.02383284,39979408.47505676,40715292.64032978,40470680.24273655,42326413.46487431,45894982.46147037
19711935.549010824,19463927.30638913,23016089.178339206,22075660.595227268,27964020.61054458,27788774.262829818,30567584.622640356,32883487.525563307,34101832.22916252,35593763.649870284,38814434.38999472,38682629.04016182,42554594.949554674,41241758.73341212,44790245.63539572,47490322.27284481
16608622.262449482,19586278.533331327,22945716.59922014,23712490.870573577,28461957.909525722,28485031.090716563,31393055.464798134,32650971.406953037,36426285.74758625,36312920.21827585,38060471.45000563,38869112.43682011,41032381.150274314,42037931.793637775,44635664.68068986,45357964.95209843
19746080.30987368,22857777.933868665,23282080.8165493,23574473.833963796,29407286.30316301,28709737.1477433,29017881.825187493,31674987.33812982,32943867.884290107,35630951.901395574,37700584.1070377,41229117.09033926,41969353.75028783,42281709.40620071,45132410.204732835,43308497.89491943
19684544.685141195,21371932.683748525,20594266.63563817,25223989.230161034,28424774.853057746,28701464.45536736,32003632.149627775,35429095.92958255,35296357.42062157,36305941.93921109,37161877.39631661,38374165.330118045,42548433.50679285,41554247.72537304,44266907.673951745,45293082.49923037
19961050.430446323,20873965.338001404,23472441.78174058,23367980.639704026,27731927.194303676,28055164.89904005,30799592.425173376,33261215.698018864,35955487.788018756,34988693.39683258,38660316.89744408,40866581.52236083,42068864.912275165,44675311.06306171,43301455.99164671,44414980.17093116
17395906.078189157,22197900.134115707,23034132.003623378,23877984.428252432,28358120.108978137,27886872.81561043,34030313.46725541,32977171.96554291,35213300.06875162,36843411.517675325,38222165.53109582,39587586.14137424,40683986.39410394,43070368.08027245,46334570.45464464,47380245.885461316
21226985.314644545,19911663.0180656,21153608.290048562,23799197.207093667,28102738.697446104,30432818.107413303,29404287.793732874,34580508.87095117,34906837.91882759,35546127.02287592,36538646.89442198,37464420.66215355,42540191.21129982,42615663.61123519,42711953.85405317,44357251.81297979
19035334.635295674,22394918.422130655,21988664.429447517,22253405.503250465,27759409.932709474,28864983.93937466,28281465.462547895,32767051.326468043,34823258.9090209,36810141.971413866,39764555.89402556,40607706.24260335,41283975.85010361,41268232.34732941,47124120.98721805,45907728.714580685
19432671.234391406,20466451.43156781,22512196.204649057,23778352.379115183,27385957.31290817,28550554.165500134,31259644.360222172,32207011.542522777,34270954.97840001,36146359.4104672,37392324.52121561,41034237.70336321,38543825.23587257,43778478.08511675,45608285.81212853,43466196.33704767
19027491.732784323,20070864.298133634,20675568.20437389,23067431.28667442,26774489.49735978,31187626.239022665,32342233.833105046,34285111.70057666,35915012.55379623,34755846.37743408,37088408.76824583,39887617.08458321,40187447.80323718,43346205.56879281,43910706.84867301,45410815.76562591
20224620.67121522,20999938.3480818,21872702.649564724,25241469.73647535,26808100.02019218,29884264.678147126,31959274.02889215,32474795.558968607,35461697.20500167,34618467.98497541,38721677.89109913,39125616.76656413,40991985.66977105,43729944.011077225,43380767.34423018,44227445.01415949
17648240.599543523,21184165.191474684,20820936.604551397,25909752.935836617,25668257.17803368,31123608.206881437,31532150.561857224,32718483.645902187,34463410.692411914,36475794.68399272,37637383.0169809,40581416.55191974,41724681.443362236,42703582.337885685,43769905.172925994,45774737.45719133
19766562.052339595,18546074.99423237,20743431.01825784,24774523.713561922,28233867.233826328,28966767.85499279,31316865.46266557,33227188.534117956,34469323.732364394,35150605.944092385,37900636.83634002,38228915.33375414,42062903.79509317,40587509.42255256,45360537.94775866,46380988.692723736
19707739.91577939,21613198.880595416,24190730.66527318,25078782.99785799,25942784.432948966,27710135.93776189,30597786.953670084,32859090.9073894,35681199.366644554,35209762.31672644,37890400.63724503,38480916.23129572,40889843.43963807,40925465.35577791,43130781.030092925,44292446.217113934
18308081.464305174,21694010.724750485,21199599.509811793,26894660.277284585,28601094.317294978,29389799.070526224,30336718.370639443,33631052.22865115,34428204.872993186,36163893.95870602,40566368.95218382,39226017.40752762,42915313.041950084,41728874.39971598,44145215.14473731,47867245.914272495
18704500.26506042,22558279.525123913,23095200.109929398,23309116.15169401,28759497.68372276,30293301.941209763,31991366.888074312,31031354.899921425,34254576.04437617,35747996.25519519,37595891.638245046,40035996.47360652,41797695.97838828,41006912.06628555,44619385.33948713,46538965.54840429
20052865.509617727,21724921.532030746,23239525.140291866,24455699.311783172,27959367.342176892,27272693.393295206,31776519.763894398,33067013.875018604,35399174.30129523,34589616.248691395,36460901.802205384,40524743.11809464,41547782.32870816,43310233.83491989,44217515.76322361,45873998.59469677
