Year,Scenario,Probability,Vehicle_Class,Chemistry,EOL_Volume
2025,Optimistic,0.25,Vans,NMC,8224
2025,Pessimistic,0.25,2 and 3 wheelers,LFP,3959348
2025,Pessimistic,0.25,2 and 3 wheelers,NMC,5291069
2025,Pessimistic,0.25,Buses,LFP,5213
2025,Pessimistic,0.25,Buses,NMC,6303
2025,Pessimistic,0.25,Cars,LFP,42262
2025,Pessimistic,0.25,Cars,NMC,58456
2025,Pessimistic,0.25,Vans,LFP,3635
2025,Pessimistic,0.25,Vans,NMC,4949
2026,Base,0.5,2 and 3 wheelers,LFP,8355944
2026,Base,0.5,2 and 3 wheelers,NMC,8803195
2026,Base,0.5,Buses,LFP,10930
2026,Base,0.5,Buses,NMC,11209
2026,Base,0.5,Cars,LFP,101848
2026,Base,0.5,Cars,NMC,124209
2026,Base,0.5,Vans,LFP,8502
2026,Base,0.5,Vans,NMC,10054
2026,Optimistic,0.25,2 and 3 wheelers,LFP,10276246
2026,Optimistic,0.25,2 and 3 wheelers,NMC,10921356
2026,Optimistic,0.25,Buses,LFP,13397
2026,Optimistic,0.25,Buses,NMC,13894
2026,Optimistic,0.25,Cars,LFP,125680
2026,Optimistic,0.25,Cars,NMC,154699
2026,Optimistic,0.25,Vans,LFP,10482
2026,Optimistic,0.25,Vans,NMC,12512
2026,Pessimistic,0.25,2 and 3 wheelers,LFP,6444390
2026,Pessimistic,0.25,2 and 3 wheelers,NMC,6693292
2026,Pessimistic,0.25,Buses,LFP,8474
2026,Pessimistic,0.25,Buses,NMC,8534
2026,Pessimistic,0.25,Cars,LFP,78117
2026,Pessimistic,0.25,Cars,NMC,93817
2026,Pessimistic,0.25,Vans,LFP,6531
2026,Pessimistic,0.25,Vans,NMC,7604
2027,Base,0.5,2 and 3 wheelers,LFP,11603927
2027,Base,0.5,2 and 3 wheelers,NMC,9078915
2027,Base,0.5,Buses,LFP,15952
2027,Base,0.5,Buses,NMC,13625
2027,Base,0.5,Cars,LFP,168248
2027,Base,0.5,Cars,NMC,179099
2027,Base,0.5,Vans,LFP,13537
2027,Base,0.5,Vans,NMC,13659
2027,Optimistic,0.25,2 and 3 wheelers,LFP,14100228
2027,Optimistic,0.25,2 and 3 wheelers,NMC,11149360
2027,Optimistic,0.25,Buses,LFP,19382
2027,Optimistic,0.25,Buses,NMC,16792
2027,Optimistic,0.25,Cars,LFP,206265
2027,Optimistic,0.25,Cars,NMC,222265
2027,Optimistic,0.25,Vans,LFP,16565
2027,Optimistic,0.25,Vans,NMC,16925
2027,Pessimistic,0.25,2 and 3 wheelers,LFP,9118590
2027,Pessimistic,0.25,2 and 3 wheelers,NMC,7017106
2027,Pessimistic,0.25,Buses,LFP,12535
2027,Pessimistic,0.25,Buses,NMC,10469
2027,Pessimistic,0.25,Cars,LFP,130384
2027,Pessimistic,0.25,Cars,NMC,136077
2027,Pessimistic,0.25,Vans,LFP,10521
2027,Pessimistic,0.25,Vans,NMC,10405
2028,Base,0.5,2 and 3 wheelers,LFP,14754304
2028,Base,0.5,2 and 3 wheelers,NMC,8448400
2028,Base,0.5,Buses,LFP,21629
2028,Base,0.5,Buses,NMC,15297
2028,Base,0.5,Cars,LFP,256440
2028,Base,0.5,Cars,NMC,237898
2028,Base,0.5,Vans,LFP,19751
2028,Base,0.5,Vans,NMC,16841
2028,Optimistic,0.25,2 and 3 wheelers,LFP,17689433
2028,Optimistic,0.25,2 and 3 wheelers,NMC,10232511
2028,Optimistic,0.25,Buses,LFP,26045
2028,Optimistic,0.25,Buses,NMC,18729
2028,Optimistic,0.25,Cars,LFP,312263
