Multiplier,Obj_Crore,Facilities_Open,Opened,Informal_Loss_Pct
0.5,-2132.006718693697,1,Hyderabad,0.0
1.0,-2064.611536636839,3,"Chennai, Ahmedabad, Kolkata",0.0
2.0,-1968.8343335585957,4,"Delhi_NCR, Chennai, Ahmedabad, Kolkata",0.0
3.0,-1891.666090235612,5,"Delhi_NCR, Chennai, Pune, Ahmedabad, Kolkata",0.0
5.0,-1761.3966095203475,6,"Delhi_NCR, Chennai, Pune, Hyderabad, Ahmedabad, Kolkata",0.0
8.0,-1582.5253882782026,6,"Delhi_NCR, Chennai, Pune, Hyderabad, Ahmedabad, Kolkata",0.0
10.0,-1463.2779074501063,6,"Delhi_NCR, Chennai, Pune, Hyderabad, Ahmedabad, Kolkata",0.0
