Multiplier,Obj_Crore,Facilities_Open,Opened,Informal_Loss_Pct
0.5,-1950.3021323813,4,"Delhi_NCR, Chennai, Ahmedabad, Kolkata",0.0
0.75,-1920.4672362213,3,"Chennai, Ahmedabad, Kolkata",0.0
1.0,-1895.2172362212998,3,"Chennai, Ahmedabad, Kolkata",0.0
1.5,-1846.8963765212998,2,"Chennai, Ahmedabad",0.0
2.0,-1824.0089526969005,1,Hyderabad,0.0
3.0,-1792.0089526969005,1,Hyderabad,0.0
5.0,-1728.0089526969002,1,Hyderabad,0.0
