Iteration,Lower_Bound,Upper_Bound,Gap_Pct,Cuts
1,-100000000.0,5668.2135160206,1764324.2960213246,0
2,-146892.82704,5668.2135160206,2691.518943752262,1
3,-2586.98762,47.698273549187945,5523.650433243077,2
4,-1529.72386,-1361.693579602433,12.33980117954481,3
5,-1508.97246,-1361.693579602433,10.815860675539593,4
6,-1508.72002,-1361.693579602433,10.797321996663417,5
7,-1500.8989,-1361.693579602433,10.222954891085708,6
8,-1489.16454,-1401.1011204114052,6.285300775631153,7
9,-1484.8947,-1401.1011204114052,5.980551893641375,8
10,-1476.03446,-1401.1011204114052,5.348174981588206,9
11,-1474.70702,-1401.1011204114052,5.253432355188034,10
12,-1471.1075,-1401.1011204114052,4.996525844475726,11
13,-1457.91478,-1401.1011204114052,4.0549292810438,12
14,-1455.51926,-1401.1011204114052,3.883955183235884,13
15,-1454.1367,-1401.1011204114052,3.7852785081652054,14
16,-1452.93606,-1401.1011204114052,3.6995859066456624,15
17,-1447.64578,-1401.1011204114052,3.3220057360976143,16
18,-1444.42794,-1401.1011204114052,3.09234065674523,17
19,-1438.45742,-1401.1011204114052,2.666210100354919,18
20,-1438.146992,-1401.1011204114052,2.644054097802523,19
21,-1433.366712,-1401.1011204114052,2.3028738695976974,20
22,-1432.411412,-1401.1011204114052,2.2346917815183236,21
23,-1424.808332,-1401.1011204114052,1.692041441065558,22
24,-1423.4099,-1401.1011204114052,1.5922319426912093,23
25,-1423.26596,-1401.1011204114052,1.5819585942581045,24
26,-1422.79906,-1401.1011204114052,1.548634803905064,25
27,-1422.277272,-1401.1011204114052,1.511393523286661,26
28,-1416.121056,-1401.1011204114052,1.0720093910270028,27
29,-1416.03568,-1412.0093254262326,0.28515070695811917,28
30,-1415.3572,-1412.0093254262326,0.23710003280303224,29
31,-1414.943408,-1412.0093254262326,0.2077948439102399,30
32,-1414.586364,-1412.0093254262326,0.1825086086446037,31
33,-1411.919056,-1412.0093254262326,0.006392976633159256,32
34,-1411.744224,-1412.0093254262326,0.018774764547146636,33
35,-1410.283124,-1412.0093254262326,0.12225141825543209,34
36,-1409.487568,-1412.0093254262326,0.17859353906684042,35
37,-1406.111984,-1412.0093254262326,0.41765598286345196,36
38,-1405.528836,-1412.0093254262326,0.4589551435346444,37
39,-1405.16128,-1412.0093254262326,0.4849858498041691,38
40,-1404.02134,-1412.0093254262326,0.5657176112361195,39
41,-1403.65714,-1412.0093254262326,0.5915106420215261,40
42,-1403.65714,-1412.0093254262326,0.5915106420215261,41
43,-1403.65714,-1412.0093254262326,0.5915106420215261,42
44,-1403.65714,-1412.0093254262326,0.5915106420215261,43
45,-1403.65714,-1412.0093254262326,0.5915106420215261,44
46,-1403.65714,-1412.0093254262326,0.5915106420215261,45
47,-1403.65714,-1412.0093254262326,0.5915106420215261,46
48,-1403.65714,-1412.0093254262326,0.5915106420215261,47
49,-1403.65714,-1412.0093254262326,0.5915106420215261,48
50,-1403.65714,-1412.0093254262326,0.5915106420215261,49
