region_country,category,parameter,mode,powertrain,year,unit,value,Aggregate group
India,Projection-STEPS,EV sales,Buses,FCEV,2035,Vehicles,1500.0,Projection_country
India,Projection-STEPS,EV sales,Buses,PHEV,2035,Vehicles,44.0,Projection_country
India,Projection-STEPS,EV sales,Cars,BEV,2035,Vehicles,2100000.0,Projection_country
India,Projection-STEPS,EV sales,Trucks,BEV,2035,Vehicles,13000.0,Projection_country
India,Projection-STEPS,EV sales,Trucks,FCEV,2035,Vehicles,220.0,Projection_country
India,Projection-STEPS,EV sales,Trucks,PHEV,2035,Vehicles,220.0,Projection_country
India,Projection-STEPS,EV sales,Vans,BEV,2035,Vehicles,120000.0,Projection_country
India,Projection-STEPS,EV sales,Vans,FCEV,2035,Vehicles,310.0,Projection_country
India,Projection-STEPS,EV sales,Vans,PHEV,2035,Vehicles,6400.0,Projection_country
India,Historical,EV sales,2 and 3 wheelers,EV,2010,Vehicles,40000.0,Projection_country
India,Historical,EV sales,2 and 3 wheelers,EV,2011,Vehicles,30000.0,Projection_country
India,Historical,EV sales,2 and 3 wheelers,EV,2012,Vehicles,190000.0,Projection_country
India,Historical,EV sales,2 and 3 wheelers,EV,2013,Vehicles,210000.0,Projection_country
India,Historical,EV sales,2 and 3 wheelers,EV,2014,Vehicles,260000.0,Projection_country
India,Historical,EV sales,2 and 3 wheelers,EV,2015,Vehicles,6900.0,Projection_country
India,Historical,EV sales,2 and 3 wheelers,EV,2016,Vehicles,49000.0,Projection_country
India,Historical,EV sales,2 and 3 wheelers,EV,2017,Vehicles,85000.0,Projection_country
India,Historical,EV sales,2 and 3 wheelers,EV,2018,Vehicles,130000.0,Projection_country
India,Historical,EV sales,2 and 3 wheelers,EV,2019,Vehicles,160000.0,Projection_country
India,Historical,EV sales,2 and 3 wheelers,EV,2020,Vehicles,120000.0,Projection_country
India,Historical,EV sales,2 and 3 wheelers,EV,2021,Vehicles,320000.0,Projection_country
India,Historical,EV sales,2 and 3 wheelers,EV,2022,Vehicles,980000.0,Projection_country
India,Historical,EV sales,2 and 3 wheelers,EV,2023,Vehicles,1500000.0,Projection_country
India,Historical,EV sales,2 and 3 wheelers,EV,2024,Vehicles,1900000.0,Projection_country
India,Historical,EV sales,2 and 3 wheelers,EV,2025,Vehicles,2100000.0,Projection_country
India,Historical,EV sales,Buses,EV,2015,Vehicles,100.0,Projection_country
India,Historical,EV sales,Buses,EV,2016,Vehicles,25.0,Projection_country
India,Historical,EV sales,Buses,EV,2017,Vehicles,20.0,Projection_country
India,Historical,EV sales,Buses,EV,2018,Vehicles,210.0,Projection_country
India,Historical,EV sales,Buses,EV,2019,Vehicles,460.0,Projection_country
