State,Year,Month,Registrations,Month_Num,Date
ANDAMAN & NICOBAR ISLAND,2026,FEB,930,2,2026-02-01
ANDAMAN & NICOBAR ISLAND,2026,MAR,1131,3,2026-03-01
ANDAMAN & NICOBAR ISLAND,2026,APR,950,4,2026-04-01
ANDAMAN & NICOBAR ISLAND,2026,MAY,884,5,2026-05-01
ANDAMAN & NICOBAR ISLAND,2026,JUN,1061,6,2026-06-01
ANDAMAN & NICOBAR ISLAND,2026,JUL,936,7,2026-07-01
ANDHRA PRADESH,2020,JAN,95786,1,2020-01-01
ANDHRA PRADESH,2020,FEB,96370,2,2020-02-01
ANDHRA PRADESH,2020,MAR,102870,3,2020-03-01
ANDHRA PRADESH,2020,APR,11487,4,2020-04-01
ANDHRA PRADESH,2020,MAY,32869,5,2020-05-01
ANDHRA PRADESH,2020,JUN,82475,6,2020-06-01
ANDHRA PRADESH,2020,JUL,61630,7,2020-07-01
ANDHRA PRADESH,2020,AUG,85634,8,2020-08-01
ANDHRA PRADESH,2020,SEP,90646,9,2020-09-01
ANDHRA PRADESH,2020,OCT,128352,10,2020-10-01
ANDHRA PRADESH,2020,NOV,118541,11,2020-11-01
ANDHRA PRADESH,2020,DEC,80014,12,2020-12-01
ANDHRA PRADESH,2021,JAN,110373,1,2021-01-01
ANDHRA PRADESH,2021,FEB,85503,2,2021-02-01
ANDHRA PRADESH,2021,MAR,84829,3,2021-03-01
ANDHRA PRADESH,2021,APR,81266,4,2021-04-01
ANDHRA PRADESH,2021,MAY,52705,5,2021-05-01
ANDHRA PRADESH,2021,JUN,67632,6,2021-06-01
ANDHRA PRADESH,2021,JUL,76197,7,2021-07-01
ANDHRA PRADESH,2021,AUG,75389,8,2021-08-01
ANDHRA PRADESH,2021,SEP,67649,9,2021-09-01
ANDHRA PRADESH,2021,OCT,107189,10,2021-10-01
ANDHRA PRADESH,2021,NOV,82534,11,2021-11-01
ANDHRA PRADESH,2021,DEC,56074,12,2021-12-01
ANDHRA PRADESH,2022,JAN,76790,1,2022-01-01
ANDHRA PRADESH,2022,FEB,68194,2,2022-02-01
ANDHRA PRADESH,2022,MAR,68794,3,2022-03-01
ANDHRA PRADESH,2022,APR,72543,4,2022-04-01
ANDHRA PRADESH,2022,MAY,65476,5,2022-05-01
ANDHRA PRADESH,2022,JUN,55045,6,2022-06-01
ANDHRA PRADESH,2022,JUL,57831,7,2022-07-01
ANDHRA PRADESH,2022,AUG,71256,8,2022-08-01
ANDHRA PRADESH,2022,SEP,71355,9,2022-09-01
ANDHRA PRADESH,2022,OCT,90827,10,2022-10-01
ANDHRA PRADESH,2022,NOV,85429,11,2022-11-01
ANDHRA PRADESH,2022,DEC,64900,12,2022-12-01
ANDHRA PRADESH,2023,JAN,70423,1,2023-01-01
ANDHRA PRADESH,2023,FEB,69122,2,2023-02-01
ANDHRA PRADESH,2023,MAR,73882,3,2023-03-01
ANDHRA PRADESH,2023,APR,64720,4,2023-04-01
ANDHRA PRADESH,2023,MAY,73179,5,2023-05-01
ANDHRA PRADESH,2023,JUN,63345,6,2023-06-01
ANDHRA PRADESH,2023,JUL,68682,7,2023-07-01
ANDHRA PRADESH,2023,AUG,75629,8,2023-08-01
ANDHRA PRADESH,2023,SEP,70027,9,2023-09-01
ANDHRA PRADESH,2023,OCT,86753,10,2023-10-01
ANDHRA PRADESH,2023,NOV,98584,11,2023-11-01
ANDHRA PRADESH,2023,DEC,77066,12,2023-12-01
ANDHRA PRADESH,2024,JAN,70559,1,2024-01-01
ANDHRA PRADESH,2024,FEB,71464,2,2024-02-01
ANDHRA PRADESH,2024,MAR,86845,3,2024-03-01
ANDHRA PRADESH,2024,APR,72903,4,2024-04-01
ANDHRA PRADESH,2024,MAY,74161,5,2024-05-01
ANDHRA PRADESH,2024,JUN,68859,6,2024-06-01
ANDHRA PRADESH,2024,JUL,75222,7,2024-07-01
ANDHRA PRADESH,2024,AUG,62659,8,2024-08-01
ANDHRA PRADESH,2024,SEP,59646,9,2024-09-01
ANDHRA PRADESH,2024,OCT,107378,10,2024-10-01
ANDHRA PRADESH,2024,NOV,105745,11,2024-11-01
ANDHRA PRADESH,2024,DEC,56263,12,2024-12-01
ANDHRA PRADESH,2025,JAN,64777,1,2025-01-01
ANDHRA PRADESH,2025,FEB,72516,2,2025-02-01
ANDHRA PRADESH,2025,MAR,65437,3,2025-03-01
ANDHRA PRADESH,2025,APR,74834,4,2025-04-01
ANDHRA PRADESH,2025,MAY,66161,5,2025-05-01
ANDHRA PRADESH,2025,JUN,66860,6,2025-06-01
ANDHRA PRADESH,2025,JUL,65721,7,2025-07-01
ANDHRA PRADESH,2025,AUG,70244,8,2025-08-01
ANDHRA PRADESH,2025,SEP,51372,9,2025-09-01
ANDHRA PRADESH,2025,OCT,135134,10,2025-10-01
ANDHRA PRADESH,2025,NOV,129822,11,2025-11-01
ANDHRA PRADESH,2025,DEC,63184,12,2025-12-01
ANDHRA PRADESH,2026,JAN,71542,1,2026-01-01
ANDHRA PRADESH,2026,FEB,86703,2,2026-02-01
ANDHRA PRADESH,2026,MAR,100128,3,2026-03-01
ANDHRA PRADESH,2026,APR,95277,4,2026-04-01
ANDHRA PRADESH,2026,MAY,83979,5,2026-05-01
ANDHRA PRADESH,2026,JUN,98056,6,2026-06-01
ANDHRA PRADESH,2026,JUL,85789,7,2026-07-01
ARUNACHAL PRADESH,2020,JAN,4392,1,2020-01-01
ARUNACHAL PRADESH,2020,FEB,1716,2,2020-02-01
ARUNACHAL PRADESH,2020,MAR,3542,3,2020-03-01
ARUNACHAL PRADESH,2020,APR,860,4,2020-04-01
ARUNACHAL PRADESH,2020,MAY,356,5,2020-05-01
ARUNACHAL PRADESH,2020,JUN,872,6,2020-06-01
ARUNACHAL PRADESH,2020,JUL,597,7,2020-07-01
ARUNACHAL PRADESH,2020,AUG,1147,8,2020-08-01
ARUNACHAL PRADESH,2020,SEP,1689,9,2020-09-01
ARUNACHAL PRADESH,2020,OCT,1757,10,2020-10-01
ARUNACHAL PRADESH,2020,NOV,2095,11,2020-11-01
ARUNACHAL PRADESH,2020,DEC,2005,12,2020-12-01
ARUNACHAL PRADESH,2021,JAN,1950,1,2021-01-01
ARUNACHAL PRADESH,2021,FEB,2152,2,2021-02-01
ARUNACHAL PRADESH,2021,MAR,2522,3,2021-03-01
ARUNACHAL PRADESH,2021,APR,2204,4,2021-04-01
ARUNACHAL PRADESH,2021,MAY,1062,5,2021-05-01
ARUNACHAL PRADESH,2021,JUN,1471,6,2021-06-01
ARUNACHAL PRADESH,2021,JUL,1877,7,2021-07-01
ARUNACHAL PRADESH,2021,AUG,2097,8,2021-08-01
ARUNACHAL PRADESH,2021,SEP,2123,9,2021-09-01
ARUNACHAL PRADESH,2021,OCT,1951,10,2021-10-01
ARUNACHAL PRADESH,2021,NOV,2109,11,2021-11-01
ARUNACHAL PRADESH,2021,DEC,1995,12,2021-12-01
ARUNACHAL PRADESH,2022,JAN,1907,1,2022-01-01
ARUNACHAL PRADESH,2022,FEB,1783,2,2022-02-01
ARUNACHAL PRADESH,2022,MAR,2090,3,2022-03-01
ARUNACHAL PRADESH,2022,APR,2170,4,2022-04-01
ARUNACHAL PRADESH,2022,MAY,2545,5,2022-05-01
ARUNACHAL PRADESH,2022,JUN,2660,6,2022-06-01
ARUNACHAL PRADESH,2022,JUL,2484,7,2022-07-01
ARUNACHAL PRADESH,2022,AUG,2449,8,2022-08-01
ARUNACHAL PRADESH,2022,SEP,2271,9,2022-09-01
ARUNACHAL PRADESH,2022,OCT,1823,10,2022-10-01
ARUNACHAL PRADESH,2022,NOV,2535,11,2022-11-01
ARUNACHAL PRADESH,2022,DEC,2029,12,2022-12-01
ARUNACHAL PRADESH,2023,JAN,1941,1,2023-01-01
ARUNACHAL PRADESH,2023,FEB,1898,2,2023-02-01
ARUNACHAL PRADESH,2023,MAR,2543,3,2023-03-01
ARUNACHAL PRADESH,2023,APR,2144,4,2023-04-01
ARUNACHAL PRADESH,2023,MAY,2692,5,2023-05-01
ARUNACHAL PRADESH,2023,JUN,2614,6,2023-06-01
ARUNACHAL PRADESH,2023,JUL,2761,7,2023-07-01
ARUNACHAL PRADESH,2023,AUG,2917,8,2023-08-01
ARUNACHAL PRADESH,2023,SEP,2732,9,2023-09-01
ARUNACHAL PRADESH,2023,OCT,2784,10,2023-10-01
ARUNACHAL PRADESH,2023,NOV,3079,11,2023-11-01
ARUNACHAL PRADESH,2023,DEC,2849,12,2023-12-01
ARUNACHAL PRADESH,2024,JAN,2470,1,2024-01-01
ARUNACHAL PRADESH,2024,FEB,2668,2,2024-02-01
ARUNACHAL PRADESH,2024,MAR,2769,3,2024-03-01
ARUNACHAL PRADESH,2024,APR,3013,4,2024-04-01
ARUNACHAL PRADESH,2024,MAY,4737,5,2024-05-01
ARUNACHAL PRADESH,2024,JUN,3284,6,2024-06-01
ARUNACHAL PRADESH,2024,JUL,3069,7,2024-07-01
ARUNACHAL PRADESH,2024,AUG,2938,8,2024-08-01
ARUNACHAL PRADESH,2024,SEP,2727,9,2024-09-01
ARUNACHAL PRADESH,2024,OCT,3047,10,2024-10-01
ARUNACHAL PRADESH,2024,NOV,3136,11,2024-11-01
ARUNACHAL PRADESH,2024,DEC,2957,12,2024-12-01
ARUNACHAL PRADESH,2025,JAN,2922,1,2025-01-01
ARUNACHAL PRADESH,2025,FEB,2645,2,2025-02-01
ARUNACHAL PRADESH,2025,MAR,2854,3,2025-03-01
ARUNACHAL PRADESH,2025,APR,3312,4,2025-04-01
ARUNACHAL PRADESH,2025,MAY,3308,5,2025-05-01
ARUNACHAL PRADESH,2025,JUN,3495,6,2025-06-01
ARUNACHAL PRADESH,2025,JUL,4169,7,2025-07-01
ARUNACHAL PRADESH,2025,AUG,3803,8,2025-08-01
ARUNACHAL PRADESH,2025,SEP,3047,9,2025-09-01
ARUNACHAL PRADESH,2025,OCT,3977,10,2025-10-01
ARUNACHAL PRADESH,2025,NOV,3594,11,2025-11-01
ARUNACHAL PRADESH,2025,DEC,3435,12,2025-12-01
ARUNACHAL PRADESH,2026,JAN,3478,1,2026-01-01
ARUNACHAL PRADESH,2026,FEB,3397,2,2026-02-01
ARUNACHAL PRADESH,2026,MAR,3522,3,2026-03-01
ARUNACHAL PRADESH,2026,APR,3842,4,2026-04-01
ARUNACHAL PRADESH,2026,MAY,3706,5,2026-05-01
ARUNACHAL PRADESH,2026,JUN,3948,6,2026-06-01
ARUNACHAL PRADESH,2026,JUL,3181,7,2026-07-01
ASSAM,2020,JAN,37037,1,2020-01-01
ASSAM,2020,FEB,43260,2,2020-02-01
ASSAM,2020,MAR,50245,3,2020-03-01
ASSAM,2020,APR,1469,4,2020-04-01
ASSAM,2020,MAY,11631,5,2020-05-01
ASSAM,2020,JUN,27122,6,2020-06-01
ASSAM,2020,JUL,23372,7,2020-07-01
ASSAM,2020,AUG,29527,8,2020-08-01
ASSAM,2020,SEP,40390,9,2020-09-01
ASSAM,2020,OCT,50092,10,2020-10-01
ASSAM,2020,NOV,46879,11,2020-11-01
ASSAM,2020,DEC,45478,12,2020-12-01
ASSAM,2021,JAN,50903,1,2021-01-01
ASSAM,2021,FEB,45131,2,2021-02-01
ASSAM,2021,MAR,46331,3,2021-03-01
ASSAM,2021,APR,41268,4,2021-04-01
ASSAM,2021,MAY,19768,5,2021-05-01
ASSAM,2021,JUN,28780,6,2021-06-01
